Tool	Rank	Precision	Sensitivity	F1
Kraken2	Genus	0.981879	0.87528	0.92552
Kraken2	Species	0.92016	0.797925	0.854694
KrakenUniq	Genus	0.991424	0.894787	0.94063
KrakenUniq	Species	0.932794	0.812626	0.868574
Centrifuge	Genus	0.962145	0.917129	0.939098
Centrifuge	Species	0.897367	0.833423	0.864214
Kaiju	Genus	0.955045	0.410709	0.574401
Kaiju	Species	0.813223	0.222361	0.349231
Kraken2X	Genus	0.901742	0.70359	0.790437
Kraken2X	Species	0.760105	0.497415	0.601323
MMseqs2	Genus	0.958402	0.38920777	0.553598699
MMseqs2	Species	0.828535	0.10662098	0.188929367
Metabuli	Genus	0.966509	0.901229	0.932728
Metabuli	Species	0.900493	0.816739	0.856573
Metabuli-P	Genus	0.984451	0.872678	0.925201
Metabuli-P	Species	0.919709	0.797014	0.853977
Metamaps	Genus	0.992649	0.82913217	0.90355223
Metamaps	Species	0.95614	0.79863774	0.870320464
